alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
0.444977,-2.44568,3.46332,0.000579906,0.732811,0.86044,0.580493,4348,5.9739
0.444977,-2.44568,3.46332,0.000579906,1.43724,0.3025,-0.88873,4642,7.16655
0.444977,-2.44568,3.46332,0.000579906,3.36119,1.90069,-0.516953,4498,8.13077
0.444977,-2.44568,3.46332,0.000579906,3.72338,1.41179,0.352886,4367,11.3769
0.330625,-3,3.19586,0.000221733,1.03994,6,1,4698,2.99739
0.604619,-3,3.05355,0.000276208,1.03994,6,1,4732,3.13249
0.368525,-2.11937,3.07906,0.000486869,1.03994,6,1,4706,3.53332
0.330625,-2.39096,3.17805,1e-08,1.03994,6,1,4686,3.65505
0.605254,-3,2.47215,1e-08,1.03994,6,1,4695,4.4577
0.434242,-3,2.91695,1e-08,4.78799,3.72558,0.530564,4633,4.97454
0.434242,-3,2.91695,1e-08,0.732811,0.86044,0.580493,4474,7.77717
0.434242,-3,2.91695,1e-08,1.43724,0.3025,-0.88873,4630,5.53257
0.434242,-3,2.91695,1e-08,3.36119,1.90069,-0.516953,4538,4.62162
0.434242,-3,2.91695,1e-08,3.72338,1.41179,0.352886,4455,8.2308
0.330625,-3,3.19586,0.000221733,4.03189,1.38972,-0.276406,4375,7.62372
0.604619,-3,3.05355,0.000276208,4.03189,1.38972,-0.276406,4392,11.5
0.434242,-3,2.91695,1e-08,4.03189,1.38972,-0.276406,4380,6.46626
0.330625,-2.39096,3.17805,1e-08,4.03189,1.38972,-0.276406,4337,9.92137
0.605254,-3,2.47215,1e-08,4.03189,1.38972,-0.276406,4374,9.19834
0.490039,-2.04809,2.89375,0.000486869,4.78799,3.72558,0.530564,4639,4.93037
0.490039,-2.04809,2.89375,0.000486869,0.732811,0.86044,0.580493,4372,9.99687
0.490039,-2.04809,2.89375,0.000486869,1.43724,0.3025,-0.88873,4606,5.7214
0.490039,-2.04809,2.89375,0.000486869,3.36119,1.90069,-0.516953,4465,7.90149
0.490039,-2.04809,2.89375,0.000486869,3.72338,1.41179,0.352886,4366,10.1358
0.330625,-3,3.19586,0.000221733,1e-06,6,1,4788,0.829156
0.604619,-3,3.05355,0.000276208,1e-06,6,1,4784,1.06066
0.434242,-3,2.91695,1e-08,1e-06,6,1,4795,0.463512
0.330625,-2.39096,3.17805,1e-08,1e-06,6,1,4781,0.949918
0.605254,-3,2.47215,1e-08,1e-06,6,1,4789,0.845484
0.632031,-3,2.7114,0.000221733,4.78799,3.72558,0.530564,4620,2.86138
0.632031,-3,2.7114,0.000221733,0.732811,0.86044,0.580493,4411,7.73562
0.632031,-3,2.7114,0.000221733,1.43724,0.3025,-0.88873,4612,6.86021
0.632031,-3,2.7114,0.000221733,3.36119,1.90069,-0.516953,4393,10.265
0.632031,-3,2.7114,0.000221733,3.72338,1.41179,0.352886,4423,8.85274
0.330625,-3,3.19586,0.000221733,1.76089,1.12419,-1,4699,2.2836
0.604619,-3,3.05355,0.000276208,1.76089,1.12419,-1,4701,2.48039
0.434242,-3,2.91695,1e-08,1.76089,1.12419,-1,4737,2.4101
0.330625,-2.39096,3.17805,1e-08,1.76089,1.12419,-1,4695,2.89328
0.605254,-3,2.47215,1e-08,1.76089,1.12419,-1,4684,2.53722
0.665102,-3,2.5298,9.37082e-05,4.78799,3.72558,0.530564,4632,5.14782
0.665102,-3,2.5298,9.37082e-05,0.732811,0.86044,0.580493,4471,7.91335
0.665102,-3,2.5298,9.37082e-05,1.43724,0.3025,-0.88873,4603,7.79999
0.665102,-3,2.5298,9.37082e-05,3.36119,1.90069,-0.516953,4449,6.94144
0.665102,-3,2.5298,9.37082e-05,3.72338,1.41179,0.352886,4390,11.1292
0.330625,-3,3.19586,0.000221733,0.986347,0.518205,1,4419,10.6842
0.604619,-3,3.05355,0.000276208,0.986347,0.518205,1,4486,10.3373
0.434242,-3,2.91695,1e-08,0.986347,0.518205,1,4563,8.48689
0.330625,-2.39096,3.17805,1e-08,0.986347,0.518205,1,4416,10.6301
0.605254,-3,2.47215,1e-08,0.986347,0.518205,1,4502,5.30183
0.583558,-3,2.55033,1e-08,4.78799,3.72558,0.530564,4635,5.02144
0.583558,-3,2.55033,1e-08,0.732811,0.86044,0.580493,4391,8.20037
0.583558,-3,2.55033,1e-08,1.43724,0.3025,-0.88873,4641,5.58423
0.583558,-3,2.55033,1e-08,3.36119,1.90069,-0.516953,4503,8.53646
0.583558,-3,2.55033,1e-08,3.72338,1.41179,0.352886,4468,9.107
0.330625,-3,3.19586,0.000221733,5.21938,1e-06,-1,4771,1.73993
0.604619,-3,3.05355,0.000276208,5.21938,1e-06,-1,4761,1.83605
0.434242,-3,2.91695,1e-08,5.21938,1e-06,-1,4761,1.22315
0.583558,-3,2.55033,1e-08,5.21938,1e-06,-1,4766,1.05327
0.605254,-3,2.47215,1e-08,5.21938,1e-06,-1,4772,0.829156
0.485047,-2.28173,3.74222,0.000340811,4.78799,3.72558,0.530564,4614,4.10602
0.485047,-2.28173,3.74222,0.000340811,0.732811,0.86044,0.580493,4381,9.07757
0.485047,-2.28173,3.74222,0.000340811,1.43724,0.3025,-0.88873,4670,2.57087
0.485047,-2.28173,3.74222,0.000340811,3.36119,1.90069,-0.516953,4458,9.09584
0.485047,-2.28173,3.74222,0.000340811,3.72338,1.41179,0.352886,4347,9.66125
0.330625,-3,3.19586,0.000221733,0.00664793,1e-06,-0.0352794,4788,0.75
0.604619,-3,3.05355,0.000276208,0.00664793,1e-06,-0.0352794,4784,1.1726
0.434242,-3,2.91695,1e-08,0.00664793,1e-06,-0.0352794,4788,0.968246
0.583558,-3,2.55033,1e-08,0.00664793,1e-06,-0.0352794,4786,0.484123
0.605254,-3,2.47215,1e-08,0.00664793,1e-06,-0.0352794,4785,0.966227
0.176285,-2.11937,3.58566,0.000642075,4.78799,3.72558,0.530564,4655,4.91768
0.176285,-2.11937,3.58566,0.000642075,0.732811,0.86044,0.580493,4301,9.3556
0.176285,-2.11937,3.58566,0.000642075,1.43724,0.3025,-0.88873,4634,4.63512
0.176285,-2.11937,3.58566,0.000642075,3.36119,1.90069,-0.516953,4487,8.16217
0.176285,-2.11937,3.58566,0.000642075,3.72338,1.41179,0.352886,4284,11.388
0.330625,-3,3.19586,0.000221733,6,3.98547,-0.343358,4668,3.17214
0.604619,-3,3.05355,0.000276208,6,3.98547,-0.343358,4642,6.07119
0.434242,-3,2.91695,1e-08,6,3.98547,-0.343358,4653,6.01268
0.583558,-3,2.55033,1e-08,6,3.98547,-0.343358,4619,4.44014
0.605254,-3,2.47215,1e-08,6,3.98547,-0.343358,4634,5.08521
0.504217,-2.25118,2.93112,0.000225616,4.78799,3.72558,0.530564,4674,4.84607
0.504217,-2.25118,2.93112,0.000225616,0.732811,0.86044,0.580493,4380,8.89171
0.504217,-2.25118,2.93112,0.000225616,1.43724,0.3025,-0.88873,4612,6.03635
0.504217,-2.25118,2.93112,0.000225616,3.36119,1.90069,-0.516953,4442,8.92941
0.504217,-2.25118,2.93112,0.000225616,3.72338,1.41179,0.352886,4366,9.00607
0.330625,-3,3.19586,0.000221733,2.68928,0.3025,0.549144,4498,7.17526
0.604619,-3,3.05355,0.000276208,2.68928,0.3025,0.549144,4468,8.66386
0.434242,-3,2.91695,1e-08,2.68928,0.3025,0.549144,4542,6.50841
0.583558,-3,2.55033,1e-08,2.68928,0.3025,0.549144,4549,6.14124
0.605254,-3,2.47215,1e-08,2.68928,0.3025,0.549144,4531,8.02511
0.489653,-1.79869,3.79615,0.001,4.78799,3.72558,0.530564,4614,4.53975
0.489653,-1.79869,3.79615,0.001,0.732811,0.86044,0.580493,4234,14.5167
0.489653,-1.79869,3.79615,0.001,1.43724,0.3025,-0.88873,4624,5
0.489653,-1.79869,3.79615,0.001,3.36119,1.90069,-0.516953,4405,8.65822
0.489653,-1.79869,3.79615,0.001,3.72338,1.41179,0.352886,4243,10.8006
0.330625,-3,3.19586,0.000221733,6,3.34278,-1,4768,1.65831
0.604619,-3,3.05355,0.000276208,6,3.34278,-1,4759,1.61898
0.434242,-3,2.91695,1e-08,6,3.34278,-1,4748,1.92029
0.583558,-3,2.55033,1e-08,6,3.34278,-1,4769,0.966227
0.605254,-3,2.47215,1e-08,6,3.34278,-1,4767,1.51941
0.787889,-3,2.24492,1e-08,4.78799,3.72558,0.530564,4551,3.93651
0.787889,-3,2.24492,1e-08,0.732811,0.86044,0.580493,4310,9.03379
0.787889,-3,2.24492,1e-08,1.43724,0.3025,-0.88873,4320,7.33996
0.787889,-3,2.24492,1e-08,3.36119,1.90069,-0.516953,4190,8.29815
0.787889,-3,2.24492,1e-08,3.72338,1.41179,0.352886,4160,11.8691
0.330625,-3,3.19586,0.000221733,6,1.41179,-0.770611,4518,8.21489
0.604619,-3,3.05355,0.000276208,6,1.41179,-0.770611,4477,5.32938
0.434242,-3,2.91695,1e-08,6,1.41179,-0.770611,4541,6.93919
0.583558,-3,2.55033,1e-08,6,1.41179,-0.770611,4464,6.87386
0.605254,-3,2.47215,1e-08,6,1.41179,-0.770611,4442,8.02243
0.7993,-2.92872,2.09159,1e-08,4.78799,3.72558,0.530564,4491,5.15653
0.7993,-2.92872,2.09159,1e-08,0.732811,0.86044,0.580493,4207,12.8864
0.7993,-2.92872,2.09159,1e-08,1.43724,0.3025,-0.88873,4338,6.25375
0.7993,-2.92872,2.09159,1e-08,3.36119,1.90069,-0.516953,4160,10.3742
0.7993,-2.92872,2.09159,1e-08,3.72338,1.41179,0.352886,4208,11.8743
0.330625,-3,3.19586,0.000221733,1.12115,1.96548,-0.657924,4565,5.45113
0.604619,-3,3.05355,0.000276208,1.12115,1.96548,-0.657924,4489,9.53919
0.434242,-3,2.91695,1e-08,1.12115,1.96548,-0.657924,4581,6.26218
0.583558,-3,2.55033,1e-08,1.12115,1.96548,-0.657924,4499,8.74084
0.605254,-3,2.47215,1e-08,1.12115,1.96548,-0.657924,4508,6.02599
0.646341,-2.74354,2.28764,1e-08,4.78799,3.72558,0.530564,4620,3.43693
0.646341,-2.74354,2.28764,1e-08,0.732811,0.86044,0.580493,4316,11.0028
0.646341,-2.74354,2.28764,1e-08,1.43724,0.3025,-0.88873,4545,7.74168
0.646341,-2.74354,2.28764,1e-08,3.36119,1.90069,-0.516953,4381,9.05689
0.646341,-2.74354,2.28764,1e-08,3.72338,1.41179,0.352886,4328,9.17878
0.330625,-3,3.19586,0.000221733,5.15606,0.923045,0.0539079,4297,8.83861
0.604619,-3,3.05355,0.000276208,5.15606,0.923045,0.0539079,4382,9.67519
0.434242,-3,2.91695,1e-08,5.15606,0.923045,0.0539079,4347,8.19847
0.583558,-3,2.55033,1e-08,5.15606,0.923045,0.0539079,4343,10.1487
0.605254,-3,2.47215,1e-08,5.15606,0.923045,0.0539079,4337,11.6912
0.747055,-3,1.72307,1e-08,4.78799,3.72558,0.530564,4601,5.01209
0.747055,-3,1.72307,1e-08,0.732811,0.86044,0.580493,4277,9.53755
0.747055,-3,1.72307,1e-08,1.43724,0.3025,-0.88873,4422,11.0277
0.747055,-3,1.72307,1e-08,3.36119,1.90069,-0.516953,4205,11.0353
0.747055,-3,1.72307,1e-08,3.72338,1.41179,0.352886,4219,10.9014
0.330625,-3,3.19586,0.000221733,2.32679,3.72558,1,4649,6.14378
0.604619,-3,3.05355,0.000276208,2.32679,3.72558,1,4671,4.08456
0.434242,-3,2.91695,1e-08,2.32679,3.72558,1,4663,3.63952
0.583558,-3,2.55033,1e-08,2.32679,3.72558,1,4640,4.5
0.605254,-3,2.47215,1e-08,2.32679,3.72558,1,4636,5.48293
0.647551,-3,2.3932,1e-08,4.78799,3.72558,0.530564,4637,3.77854
0.647551,-3,2.3932,1e-08,0.732811,0.86044,0.580493,4417,9.64669
0.647551,-3,2.3932,1e-08,1.43724,0.3025,-0.88873,4642,6.25375
0.647551,-3,2.3932,1e-08,3.36119,1.90069,-0.516953,4426,6.48917
0.647551,-3,2.3932,1e-08,3.72338,1.41179,0.352886,4421,8.86509
0.330625,-3,3.19586,0.000221733,6,4.83585,-0.322886,4675,4.65321
0.604619,-3,3.05355,0.000276208,6,4.83585,-0.322886,4686,4.3857
0.434242,-3,2.91695,1e-08,6,4.83585,-0.322886,4690,3.49777
0.583558,-3,2.55033,1e-08,6,4.83585,-0.322886,4678,3.68909
0.605254,-3,2.47215,1e-08,6,4.83585,-0.322886,4693,2.84427
0.605254,-3,3.70257,0.000801629,4.78799,3.72558,0.530564,4636,5.60692
0.605254,-3,3.70257,0.000801629,0.732811,0.86044,0.580493,4382,11.4993
0.605254,-3,3.70257,0.000801629,1.43724,0.3025,-0.88873,4618,6.46021
0.605254,-3,3.70257,0.000801629,3.36119,1.90069,-0.516953,4423,8.46292
0.605254,-3,3.70257,0.000801629,3.72338,1.41179,0.352886,4329,7.93701
0.330625,-3,3.19586,0.000221733,0.561273,6,0.580493,4692,3.38194
0.604619,-3,3.05355,0.000276208,0.561273,6,0.580493,4700,2.136
0.434242,-3,2.91695,1e-08,0.561273,6,0.580493,4707,2.37747
0.583558,-3,2.55033,1e-08,0.561273,6,0.580493,4707,3.59198
0.605254,-3,2.47215,1e-08,0.561273,6,0.580493,4707,2.96266
0.581056,-2.8269,2.41296,1e-08,4.78799,3.72558,0.530564,4632,5.3619
0.581056,-2.8269,2.41296,1e-08,0.732811,0.86044,0.580493,4401,8.2118
0.581056,-2.8269,2.41296,1e-08,1.43724,0.3025,-0.88873,4618,5.45292
0.581056,-2.8269,2.41296,1e-08,3.36119,1.90069,-0.516953,4469,7.38849
0.581056,-2.8269,2.41296,1e-08,3.72338,1.41179,0.352886,4350,7.29619
0.330625,-3,3.19586,0.000221733,3.70681,6,1,4694,3.67211
0.604619,-3,3.05355,0.000276208,3.70681,6,1,4686,4.27017
0.434242,-3,2.91695,1e-08,3.70681,6,1,4692,3.78319
0.583558,-3,2.55033,1e-08,3.70681,6,1,4685,3.62662
0.605254,-3,2.47215,1e-08,3.70681,6,1,4724,2.04634
0.459556,-2.23036,3.75701,0.000880609,4.78799,3.72558,0.530564,4642,4.48435
0.459556,-2.23036,3.75701,0.000880609,0.732811,0.86044,0.580493,4356,7.91754
0.459556,-2.23036,3.75701,0.000880609,1.43724,0.3025,-0.88873,4651,6.03861
0.459556,-2.23036,3.75701,0.000880609,3.36119,1.90069,-0.516953,4510,9.06832
0.459556,-2.23036,3.75701,0.000880609,3.72338,1.41179,0.352886,4361,10.464
0.330625,-3,3.19586,0.000221733,2.07957,1.97917,0.840736,4539,6.7149
0.604619,-3,3.05355,0.000276208,2.07957,1.97917,0.840736,4568,7.24569
0.434242,-3,2.91695,1e-08,2.07957,1.97917,0.840736,4543,9.32382
0.583558,-3,2.55033,1e-08,2.07957,1.97917,0.840736,4520,6.80074
0.605254,-3,2.47215,1e-08,2.07957,1.97917,0.840736,4553,5.67856
0.359258,-1.08042,3.8358,0.001,4.78799,3.72558,0.530564,4650,3.87097
0.359258,-1.08042,3.8358,0.001,0.732811,0.86044,0.580493,4260,10.4253
0.359258,-1.08042,3.8358,0.001,1.43724,0.3025,-0.88873,4680,4.54148
0.359258,-1.08042,3.8358,0.001,3.36119,1.90069,-0.516953,4441,10.1179
0.359258,-1.08042,3.8358,0.001,3.72338,1.41179,0.352886,4325,15.2836
0.330625,-3,3.19586,0.000221733,2.33439,0.3025,0.260176,4548,4.45112
0.604619,-3,3.05355,0.000276208,2.33439,0.3025,0.260176,4501,9.69999
0.434242,-3,2.91695,1e-08,2.33439,0.3025,0.260176,4479,8.9824
0.583558,-3,2.55033,1e-08,2.33439,0.3025,0.260176,4517,5.10782
0.605254,-3,2.47215,1e-08,2.33439,0.3025,0.260176,4485,7.40539
0.366719,-2.19064,2.95302,0.000486869,4.78799,3.72558,0.530564,4629,3.97993
0.366719,-2.19064,2.95302,0.000486869,0.732811,0.86044,0.580493,4398,6.60374
0.366719,-2.19064,2.95302,0.000486869,1.43724,0.3025,-0.88873,4659,3.67795
0.366719,-2.19064,2.95302,0.000486869,3.36119,1.90069,-0.516953,4526,7.43198
0.366719,-2.19064,2.95302,0.000486869,3.72338,1.41179,0.352886,4391,6.95493
0.330625,-3,3.19586,0.000221733,4.12,1e-06,-1,4769,1.34484
0.604619,-3,3.05355,0.000276208,4.12,1e-06,-1,4760,1.58114
0.434242,-3,2.91695,1e-08,4.12,1e-06,-1,4760,1.27475
0.583558,-3,2.55033,1e-08,4.12,1e-06,-1,4766,1.05327
0.605254,-3,2.47215,1e-08,4.12,1e-06,-1,4772,0.829156
0.343167,-1.72741,3.86827,0.000805511,4.78799,3.72558,0.530564,4631,3.84006
0.343167,-1.72741,3.86827,0.000805511,0.732811,0.86044,0.580493,4362,9.36666
0.343167,-1.72741,3.86827,0.000805511,1.43724,0.3025,-0.88873,4636,6.18971
0.343167,-1.72741,3.86827,0.000805511,3.36119,1.90069,-0.516953,4465,7.53715
0.343167,-1.72741,3.86827,0.000805511,3.72338,1.41179,0.352886,4415,7.9802
0.330625,-3,3.19586,0.000221733,0.155975,3.22973,0.0479202,4637,6.33659
0.604619,-3,3.05355,0.000276208,0.155975,3.22973,0.0479202,4617,5.77677
0.434242,-3,2.91695,1e-08,0.155975,3.22973,0.0479202,4589,3.26379
0.583558,-3,2.55033,1e-08,0.155975,3.22973,0.0479202,4608,4.4017
0.605254,-3,2.47215,1e-08,0.155975,3.22973,0.0479202,4623,6.59989
0.555056,-2.88901,2.31606,1e-08,4.78799,3.72558,0.530564,4643,4.00342
0.555056,-2.88901,2.31606,1e-08,0.732811,0.86044,0.580493,4432,7.85016
0.555056,-2.88901,2.31606,1e-08,1.43724,0.3025,-0.88873,4599,4.83437
0.555056,-2.88901,2.31606,1e-08,3.36119,1.90069,-0.516953,4451,5.19878
0.555056,-2.88901,2.31606,1e-08,3.72338,1.41179,0.352886,4429,8.81206
0.330625,-3,3.19586,0.000221733,1e-06,3.61822,0.824976,4787,0.807678
0.604619,-3,3.05355,0.000276208,1e-06,3.61822,0.824976,4797,0.390312
0.434242,-3,2.91695,1e-08,1e-06,3.61822,0.824976,4787,0.807678
0.583558,-3,2.55033,1e-08,1e-06,3.61822,0.824976,4790,0.856957
0.605254,-3,2.47215,1e-08,1e-06,3.61822,0.824976,4797,0.390312
0.435506,-2.95011,3.00519,1e-08,4.78799,3.72558,0.530564,4653,4.5169
0.435506,-2.95011,3.00519,1e-08,0.732811,0.86044,0.580493,4387,8.10261
0.435506,-2.95011,3.00519,1e-08,1.43724,0.3025,-0.88873,4601,5.57863
0.435506,-2.95011,3.00519,1e-08,3.36119,1.90069,-0.516953,4492,6.35905
0.435506,-2.95011,3.00519,1e-08,3.72338,1.41179,0.352886,4441,7.38215
0.330625,-3,3.19586,0.000221733,1e-06,6,1,4788,0.829156
0.604619,-3,3.05355,0.000276208,1e-06,6,1,4784,1.06066
0.434242,-3,2.91695,1e-08,1e-06,6,1,4795,0.463512
0.583558,-3,2.55033,1e-08,1e-06,6,1,4789,0.845484
0.605254,-3,2.47215,1e-08,1e-06,6,1,4789,0.845484
0.289934,-2.19064,3.12441,0.000486869,4.78799,3.72558,0.530564,4624,5.32682
0.289934,-2.19064,3.12441,0.000486869,0.732811,0.86044,0.580493,4376,9.19918
0.289934,-2.19064,3.12441,0.000486869,1.43724,0.3025,-0.88873,4689,5.20179
0.289934,-2.19064,3.12441,0.000486869,3.36119,1.90069,-0.516953,4509,6.95718
0.289934,-2.19064,3.12441,0.000486869,3.72338,1.41179,0.352886,4462,7.66384
0.289934,-2.19064,3.12441,0.000486869,4.78799,4.65906,0.649196,4655,4.69666
0.604619,-3,3.05355,0.000276208,4.78799,4.65906,0.649196,4641,4.61612
0.434242,-3,2.91695,1e-08,4.78799,4.65906,0.649196,4694,2.9128
0.583558,-3,2.55033,1e-08,4.78799,4.65906,0.649196,4683,2.5179
0.605254,-3,2.47215,1e-08,4.78799,4.65906,0.649196,4674,4.49826
0.508335,-2.36523,3.40561,0.00046471,4.78799,3.72558,0.530564,4630,5.76493
0.508335,-2.36523,3.40561,0.00046471,0.732811,0.86044,0.580493,4406,6.84539
0.508335,-2.36523,3.40561,0.00046471,1.43724,0.3025,-0.88873,4657,5.48257
0.508335,-2.36523,3.40561,0.00046471,3.36119,1.90069,-0.516953,4470,6.80877
0.508335,-2.36523,3.40561,0.00046471,3.72338,1.41179,0.352886,4406,10.1543
0.289934,-2.19064,3.12441,0.000486869,5.96525,1e-06,-1,4760,2
0.604619,-3,3.05355,0.000276208,5.96525,1e-06,-1,4766,1.31696
0.434242,-3,2.91695,1e-08,5.96525,1e-06,-1,4760,1.27475
0.583558,-3,2.55033,1e-08,5.96525,1e-06,-1,4766,1.05327
0.605254,-3,2.47215,1e-08,5.96525,1e-06,-1,4772,0.829156
0.560826,-2.54045,2.90543,1e-08,4.78799,3.72558,0.530564,4630,5.15843
0.560826,-2.54045,2.90543,1e-08,0.732811,0.86044,0.580493,4403,7.90742
0.560826,-2.54045,2.90543,1e-08,1.43724,0.3025,-0.88873,4578,5.93586
0.560826,-2.54045,2.90543,1e-08,3.36119,1.90069,-0.516953,4404,7.72577
0.560826,-2.54045,2.90543,1e-08,3.72338,1.41179,0.352886,4356,9.52956
0.289934,-2.19064,3.12441,0.000486869,0.732811,0.86044,-0.222108,4413,10.181
0.604619,-3,3.05355,0.000276208,0.732811,0.86044,-0.222108,4347,10.2818
0.434242,-3,2.91695,1e-08,0.732811,0.86044,-0.222108,4375,9.94339
0.583558,-3,2.55033,1e-08,0.732811,0.86044,-0.222108,4406,8.16911
0.605254,-3,2.47215,1e-08,0.732811,0.86044,-0.222108,4408,9.17197
0.430619,-2.08882,2.93312,0.000371673,4.78799,3.72558,0.530564,4638,3.99805
0.430619,-2.08882,2.93312,0.000371673,0.732811,0.86044,0.580493,4345,11.0282
0.430619,-2.08882,2.93312,0.000371673,1.43724,0.3025,-0.88873,4640,6.19476
0.430619,-2.08882,2.93312,0.000371673,3.36119,1.90069,-0.516953,4559,5.72788
0.430619,-2.08882,2.93312,0.000371673,3.72338,1.41179,0.352886,4387,9.32214
0.289934,-2.19064,3.12441,0.000486869,5.4599,1.23893,-0.535533,4332,10.9058
0.604619,-3,3.05355,0.000276208,5.4599,1.23893,-0.535533,4331,9.6871
0.434242,-3,2.91695,1e-08,5.4599,1.23893,-0.535533,4328,10.6771
0.583558,-3,2.55033,1e-08,5.4599,1.23893,-0.535533,4342,9.93652
0.605254,-3,2.47215,1e-08,5.4599,1.23893,-0.535533,4369,10.8367
0.476621,-2.70526,2.81965,3.0872e-05,4.78799,3.72558,0.530564,4655,4.23481
0.476621,-2.70526,2.81965,3.0872e-05,0.732811,0.86044,0.580493,4407,10.1425
0.476621,-2.70526,2.81965,3.0872e-05,1.43724,0.3025,-0.88873,4620,5.25
0.476621,-2.70526,2.81965,3.0872e-05,3.36119,1.90069,-0.516953,4500,6.98659
0.476621,-2.70526,2.81965,3.0872e-05,3.72338,1.41179,0.352886,4430,12.211
0.289934,-2.19064,3.12441,0.000486869,1.68636,1e-06,-1,4769,1.71277
0.604619,-3,3.05355,0.000276208,1.68636,1e-06,-1,4760,1.22474
0.434242,-3,2.91695,1e-08,1.68636,1e-06,-1,4760,1.27475
0.583558,-3,2.55033,1e-08,1.68636,1e-06,-1,4766,1.05327
0.605254,-3,2.47215,1e-08,1.68636,1e-06,-1,4772,0.829156
0.214267,-1.78052,3.306,0.000806067,4.78799,3.72558,0.530564,4621,4.63976
0.214267,-1.78052,3.306,0.000806067,0.732811,0.86044,0.580493,4296,8.38153
0.214267,-1.78052,3.306,0.000806067,1.43724,0.3025,-0.88873,4663,6.44175
0.214267,-1.78052,3.306,0.000806067,3.36119,1.90069,-0.516953,4509,8.24029
0.214267,-1.78052,3.306,0.000806067,3.72338,1.41179,0.352886,4306,10.6353
0.289934,-2.19064,3.12441,0.000486869,5.00545,3.89549,-0.222108,4668,3.30719
0.604619,-3,3.05355,0.000276208,5.00545,3.89549,-0.222108,4670,3.67211
0.434242,-3,2.91695,1e-08,5.00545,3.89549,-0.222108,4623,3.71599
0.583558,-3,2.55033,1e-08,5.00545,3.89549,-0.222108,4627,5.12614
0.605254,-3,2.47215,1e-08,5.00545,3.89549,-0.222108,4625,3.976
0.484228,-2.80709,3.06487,0.000367791,4.78799,3.72558,0.530564,4606,4.85895
0.484228,-2.80709,3.06487,0.000367791,0.732811,0.86044,0.580493,4353,7.48723
0.484228,-2.80709,3.06487,0.000367791,1.43724,0.3025,-0.88873,4644,6.02599
0.484228,-2.80709,3.06487,0.000367791,3.36119,1.90069,-0.516953,4547,6.27713
0.484228,-2.80709,3.06487,0.000367791,3.72338,1.41179,0.352886,4408,7.03562
0.289934,-2.19064,3.12441,0.000486869,6,1.93193,-1,4729,1.86978
0.604619,-3,3.05355,0.000276208,6,1.93193,-1,4743,2.17855
0.434242,-3,2.91695,1e-08,6,1.93193,-1,4740,1.75
0.583558,-3,2.55033,1e-08,6,1.93193,-1,4728,2.54951
0.605254,-3,2.47215,1e-08,6,1.93193,-1,4747,1.68518
0.783054,-3,2.15553,1e-08,4.78799,3.72558,0.530564,4529,6.4466
0.783054,-3,2.15553,1e-08,0.732811,0.86044,0.580493,4350,13.0378
0.783054,-3,2.15553,1e-08,1.43724,0.3025,-0.88873,4359,8.8739
0.783054,-3,2.15553,1e-08,3.36119,1.90069,-0.516953,4169,6.64237
0.783054,-3,2.15553,1e-08,3.72338,1.41179,0.352886,4222,13.2423
0.289934,-2.19064,3.12441,0.000486869,0.438479,1e-06,-1,4765,1.50909
0.604619,-3,3.05355,0.000276208,0.438479,1e-06,-1,4764,1.47902
0.434242,-3,2.91695,1e-08,0.438479,1e-06,-1,4767,1.24844
0.583558,-3,2.55033,1e-08,0.438479,1e-06,-1,4759,1.3214
0.605254,-3,2.47215,1e-08,0.438479,1e-06,-1,4756,1.52069
0.676761,-3,2.69747,1e-08,4.78799,3.72558,0.530564,4620,5.0806
0.676761,-3,2.69747,1e-08,0.732811,0.86044,0.580493,4376,11.4182
0.676761,-3,2.69747,1e-08,1.43724,0.3025,-0.88873,4587,6.91664
0.676761,-3,2.69747,1e-08,3.36119,1.90069,-0.516953,4440,6.38357
0.676761,-3,2.69747,1e-08,3.72338,1.41179,0.352886,4363,10.8956
0.289934,-2.19064,3.12441,0.000486869,1e-06,2.19504,0.884274,4789,0.845484
0.604619,-3,3.05355,0.000276208,1e-06,2.19504,0.884274,4790,0.599479
0.434242,-3,2.91695,1e-08,1e-06,2.19504,0.884274,4791,0.609175
0.583558,-3,2.55033,1e-08,1e-06,2.19504,0.884274,4785,1.02888
0.605254,-3,2.47215,1e-08,1e-06,2.19504,0.884274,4794,0.484123
0.511733,-2.56849,2.75154,0.000238571,4.78799,3.72558,0.530564,4619,4.98396
0.511733,-2.56849,2.75154,0.000238571,0.732811,0.86044,0.580493,4451,8.52363
0.511733,-2.56849,2.75154,0.000238571,1.43724,0.3025,-0.88873,4606,5.79736
0.511733,-2.56849,2.75154,0.000238571,3.36119,1.90069,-0.516953,4511,6.38816
0.511733,-2.56849,2.75154,0.000238571,3.72338,1.41179,0.352886,4340,7.11073
0.289934,-2.19064,3.12441,0.000486869,2.29211,1.89628,0.675137,4514,8.19966
0.604619,-3,3.05355,0.000276208,2.29211,1.89628,0.675137,4462,10.7405
0.434242,-3,2.91695,1e-08,2.29211,1.89628,0.675137,4532,7.12829
0.583558,-3,2.55033,1e-08,2.29211,1.89628,0.675137,4513,5.20179
0.605254,-3,2.47215,1e-08,2.29211,1.89628,0.675137,4496,8.52203
0.558134,-2.79368,2.57542,2.16134e-05,4.78799,3.72558,0.530564,4675,3.32074
0.558134,-2.79368,2.57542,2.16134e-05,0.732811,0.86044,0.580493,4394,10.8159
