alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
-0.180822,-1.75997,3.75423,0.000276139,6,4.45376,-0.237648,4624,6.53835
-1.6259,-3,5,4.89917e-05,6,4.45376,-0.237648,4430,6.26373
0.622852,-1.50856,4.97986,0.000321641,6,4.45376,-0.237648,4466,7.27904
0.0704245,-1.014,5,0.000817193,4.78799,3.72558,0.530564,4525,7.15209
0.0704245,-1.014,5,0.000817193,0.732811,0.86044,0.580493,4258,10.7696
0.0704245,-1.014,5,0.000817193,1.43724,0.3025,-0.88873,4645,5.78488
0.0704245,-1.014,5,0.000817193,3.36119,1.90069,-0.516953,4380,10.9516
0.0704245,-1.014,5,0.000817193,3.72338,1.41179,0.352886,4247,10.828
0.0704245,-1.014,5,0.000817193,1e-06,3.9933,0.919224,4793,0.496078
0.45981,-1.9739,3.05065,0.000322304,1e-06,3.9933,0.919224,4795,0.582961
-0.180822,-1.75997,3.75423,0.000276139,1e-06,3.9933,0.919224,4794,0.484123
-1.6259,-3,5,4.89917e-05,1e-06,3.9933,0.919224,4797,0.526634
0.622852,-1.50856,4.97986,0.000321641,1e-06,3.9933,0.919224,4786,0.992157
-3,-2.47196,4.31384,0.000448609,4.78799,3.72558,0.530564,4040,7.64853
-3,-2.47196,4.31384,0.000448609,0.732811,0.86044,0.580493,3087,19.2564
-3,-2.47196,4.31384,0.000448609,1.43724,0.3025,-0.88873,4348,16.0799
-3,-2.47196,4.31384,0.000448609,3.36119,1.90069,-0.516953,3907,15.4968
-3,-2.47196,4.31384,0.000448609,3.72338,1.41179,0.352886,3126,13.5226
0.0704245,-1.014,5,0.000817193,3.85769,1e-06,-1,4751,1.51941
0.45981,-1.9739,3.05065,0.000322304,3.85769,1e-06,-1,4764,1.29904
-0.180822,-1.75997,3.75423,0.000276139,3.85769,1e-06,-1,4758,1.83286
-1.6259,-3,5,4.89917e-05,3.85769,1e-06,-1,4698,2.9128
0.622852,-1.50856,4.97986,0.000321641,3.85769,1e-06,-1,4698,1.45237
